code_national_tri,libelle_tri,liste_libelle_risque,libelle_bassin_risques,date_arrete_pcb,date_arrete_carte,date_arrete_pcb_local,date_arrete_prefet_parties_prenantes,date_arrete_approbation,date_arrete_national,code_insee,libelle_commune
34DDTM20120167,Montpellier-Lunel-Mauguio,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",Bassin Rhône-Méditerranée,12/12/2012,20/12/2013,15/02/2016,08/05/2016,23/06/2017,,30276,SAINT-LAURENT-D'AIGOUZE
84DREAL20140001,TRI Avignon,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '183', 'libelle_risque_long': ""Par une crue torrentielle ou à montée rapide de cours d'eau""}]",,,01/08/2014,,,,06/11/2012,30290,SAINT-PAULET-DE-CAISSON
84DREAL20140001,TRI Avignon,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '183', 'libelle_risque_long': ""Par une crue torrentielle ou à montée rapide de cours d'eau""}]",,,01/08/2014,,,,06/11/2012,30312,SAUVETERRE
84DREAL20140001,TRI Avignon,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '183', 'libelle_risque_long': ""Par une crue torrentielle ou à montée rapide de cours d'eau""}]",,,01/08/2014,,,,06/11/2012,30315,SAZE
34DDTM20120167,Montpellier-Lunel-Mauguio,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",Bassin Rhône-Méditerranée,12/12/2012,20/12/2013,15/02/2016,08/05/2016,23/06/2017,,30321,SOMMIERES
84DREAL20140001,TRI Avignon,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '183', 'libelle_risque_long': ""Par une crue torrentielle ou à montée rapide de cours d'eau""}]",,,01/08/2014,,,,06/11/2012,30331,TRESQUES
84DREAL20140001,TRI Avignon,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '183', 'libelle_risque_long': ""Par une crue torrentielle ou à montée rapide de cours d'eau""}]",,,01/08/2014,,,,06/11/2012,30351,VILLENEUVE-LES-AVIGNON
34DDTM20120167,Montpellier-Lunel-Mauguio,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",Bassin Rhône-Méditerranée,12/12/2012,20/12/2013,15/02/2016,08/05/2016,23/06/2017,,30352,VILLEVIEILLE
31DREAL20150002,Toulouse,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}]",,11/01/2013,03/12/2014,11/03/2015,,,,31056,BEAUZELLE
31DREAL20150002,Toulouse,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}]",,11/01/2013,03/12/2014,11/03/2015,,,,31069,BLAGNAC
31DREAL20150002,Toulouse,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}]",,11/01/2013,03/12/2014,11/03/2015,,,,31182,FENOUILLET
31DREAL20150002,Toulouse,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}]",,11/01/2013,03/12/2014,11/03/2015,,,,31205,GAGNAC-SUR-GARONNE
31DREAL20150002,Toulouse,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}]",,11/01/2013,03/12/2014,11/03/2015,,,,31293,LESPINASSE
31DREAL20150002,Toulouse,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}]",,11/01/2013,03/12/2014,11/03/2015,,,,31420,PINSAGUEL
31DREAL20150002,Toulouse,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}]",,11/01/2013,03/12/2014,11/03/2015,,,,31433,PORTET-SUR-GARONNE
31DREAL20150002,Toulouse,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}]",,11/01/2013,03/12/2014,11/03/2015,,,,31458,ROQUES
31DREAL20150002,Toulouse,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}]",,11/01/2013,03/12/2014,11/03/2015,,,,31490,SAINT-JORY
31DREAL20150002,Toulouse,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}]",,11/01/2013,03/12/2014,11/03/2015,,,,31541,SEILH
31DREAL20150002,Toulouse,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}]",,11/01/2013,03/12/2014,11/03/2015,,,,31555,TOULOUSE
31DREAL20150002,Toulouse,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}]",,11/01/2013,03/12/2014,11/03/2015,,,,31575,VIEILLE-TOULOUSE
33DREAL20130140,BORDEAUX,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,11/01/2013,,,,,,33003,AMBARES-ET-LAGRAVE
33DREAL20130140,BORDEAUX,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,11/01/2013,,,,,,33004,AMBES
33DREAL20130138,BASSIN D'ARCACHON,"[{'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,11/01/2013,,,,,,33005,ANDERNOS-LES-BAINS
33DREAL20130138,BASSIN D'ARCACHON,"[{'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,11/01/2013,,,,,,33009,ARCACHON
33DREAL20130138,BASSIN D'ARCACHON,"[{'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,11/01/2013,,,,,,33011,ARES
33DREAL20130143,LIBOURNE,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,11/01/2013,,,,,,33015,ARVEYRES
33DREAL20130143,LIBOURNE,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,11/01/2013,,,,,,33016,ASQUES
33DREAL20130138,BASSIN D'ARCACHON,"[{'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,11/01/2013,,,,,,33019,AUDENGE
33DREAL20130140,BORDEAUX,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,11/01/2013,,,,,,33032,BASSENS
33DREAL20130140,BORDEAUX,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,11/01/2013,,,,,,33039,BEGLES
33DREAL20130138,BASSIN D'ARCACHON,"[{'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,11/01/2013,,,,,,33051,BIGANOS
33DREAL20130140,BORDEAUX,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,11/01/2013,,,,,,33056,BLANQUEFORT
33DREAL20130140,BORDEAUX,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,11/01/2013,,,,,,33063,BORDEAUX
